,type1,type2,type3,type4,type5,type6,type7
0,0.223099321,0.048948954,-0.860875138,3.172131097,-0.089362639,5.54533967,3.519866877
1,0.091470395,-0.015639307,-1.698343972,-1.166907338,0.627366212,-1.558941977,0.515552907
2,0.001122942,0.078847914,2.312096959,3.72626622,0.258046507,-1.410499104,-2.832846934
3,-0.150038762,0.382304254,1.936046339,-2.939605159,0.911207547,-1.270119501,-3.398618899
4,-0.049376216,-0.072152466,-0.188038234,2.587807509,1.648511462,-5.305357206,-1.287282043
5,-0.220658349,-0.283529987,-0.141661068,-1.793375618,-1.547006329,-5.209789394,0.695511093
6,2.164932434,-0.185533284,-2.629368351,-6.257657353,-1.000256204,0.622522874,0.506989893
7,2.273964942,-0.408228878,0.642289406,7.58396108,-0.144552269,8.635477984,-8.676165268
8,0.181361251,0.242649708,1.950051701,-1.927298733,4.532010075,1.389643103,2.067441928
9,0.026541113,-0.446592139,0.351309536,-4.747549873,-1.085545741,3.716794389,5.257337592
10,-0.283561645,-0.344484095,-0.201255711,0.114717909,-1.532525484,1.606212194,-4.91434019
11,-0.147548194,-0.058254481,-3.500214024,-3.373082115,-0.615026721,0.838223867,-0.467788101
12,-0.882466442,-0.129973767,-1.270980878,-0.24092051,-2.968257183,0.715913952,7.945228147
13,-0.162453478,0.011451123,-0.537862427,4.453289916,1.764594804,-0.758700243,0.950981458
14,-0.277620998,-0.040474614,-2.722885055,-6.812145957,0.795451891,1.507166988,6.615587703
15,-0.821714919,0.110736244,-1.079961833,-2.947502171,2.86721774,-2.150881591,2.894450165
16,-0.03394518,0.103102405,-0.96491523,4.877146435,-2.184362555,4.673518722,-6.811963822
17,-0.536563354,-2.821995352,-1.274753182,3.326529556,-0.494759682,-2.250624532,3.91146019
18,-1.048181753,-0.065490221,1.286351574,3.415784423,0.723044687,-3.221871652,-0.332468594
19,-0.049201256,-0.005091925,2.030881185,5.76894668,-1.506352198,6.921776703,-6.589452135
20,0.323156395,-0.006995162,0.009671134,-1.310039887,-0.154613251,-0.965503949,-0.095231956
21,0.350661048,0.080743111,5.948995816,-6.700549933,-3.265211304,-6.614846146,2.444399349
22,-0.27049449,0.299863014,0.484548317,1.968085809,-0.65533528,0.029794104,-2.05264353
23,0.654755194,0.780455606,-0.957351503,-1.202597652,5.367844648,-5.773437699,2.766404689
24,1.894640292,-0.824488023,-0.085968814,0.266190087,-1.043062221,4.433009234,-3.036773697
25,-0.314293341,0.234391636,-1.896143276,1.174785315,3.420645615,0.876860263,2.708764559
26,0.197222992,0.481051948,0.522159875,-7.065443289,0.51155113,3.892675381,-5.212099339
27,0.00417726,-0.068633427,-2.764620857,-4.232735579,3.333553563,-2.06206748,-2.106654422
28,0.966737399,0.712243992,-1.88076421,-0.232084311,1.770613498,-0.842840511,4.405465473
29,0.893959956,0.439670288,2.08625555,-0.739998007,1.301690521,9.131887821,2.823611793
30,0.276788441,0.078695146,-0.248356899,-0.002877602,3.065016301,-0.836354454,7.726695536
31,-1.235918521,-0.193642078,-1.454397672,1.868208579,1.782383802,-7.400343315,1.918869232
32,-1.054803729,-0.119783719,-0.650186065,-0.989223037,-1.290485192,-0.940601263,1.890233916
33,0.326263787,-0.026871568,-1.388930951,-0.983340446,1.891011968,-6.228596578,-11.71159083
34,0.142591139,-0.020088618,-0.946979179,-0.873595903,-1.779895885,0.285963972,0.527188627
35,0.010276069,0.702764708,1.098884992,0.101490535,1.148266342,-0.39426733,-2.24795763
36,2.261524986,0.585998732,2.198042126,2.976104482,-0.256501661,0.187436267,-2.353389054
37,-0.379896884,-0.213413609,-2.480044961,3.39273936,-1.302427185,5.883019726,-0.596159724
38,0.657067564,0.234968951,-1.04907968,-6.385926704,1.439950255,-2.237285147,-2.620227303
39,0.900841126,-0.270773859,-0.262675191,-3.188861385,-0.084284337,-1.604371593,-1.883110308
